Barcode,Design,Color,Size,Purchase Price,Wholesale Price,MRP,Category
VDB36214,X-343,MULTI,34,895,895,1595,BLOUSE
VDB20854,X-230,MULTI,34,850,850,1650,BLOUSE
VDB36342,X-343,MULTI,40,895,895,1595,BLOUSE
VDB34339,X-312NS,COPPER,36,795,795,1395,BLOUSE
VDB12147,86B,GOLD,40,550,550,1450,BLOUSE
VDB38684,LEC-174,COPPER,38,1050,1050,1895,BLOUSE
VDB38946,LEC-174SL,GOLD,34,1050,1050,1895,BLOUSE
VDB29221,X-262,SILVER,34,750,750,1350,BLOUSE
VDB26752,X-269NS,GOLD,38,975,975,1750,BLOUSE
VDB26750,X-269NS,GOLD,34,975,975,1750,BLOUSE
VDB36341,X-343,MULTI,38,895,895,1595,BLOUSE
VDB29741,JK-05,BLACK,L,2450,2450,4950,BLOUSE
VDB11192,X-146,BLACK,34,1350,1350,2250,BLOUSE
VDB11194,X-146,BLACK,38,1350,1350,2250,BLOUSE
VDB15378,X-151,NEON MULTI,34,850,850,1650,BLOUSE
VDB19159,X-225,SILVER,34,1050,1050,1950,BLOUSE
VDB22901,X-238,COPPER,32,1250,1250,2150,BLOUSE
VDB26277,X-265NS,GOLD,32,750,750,1350,BLOUSE
VDB26751,X-269NS,GOLD,36,975,975,1750,BLOUSE
VDB33172,X-286NS,GOLD,38,850,850,1550,BLOUSE
VDB33843,X-301,GOLD,36,750,750,1450,BLOUSE
VDB36395,X-326,MULTI,34,550,550,975,BLOUSE
VDB36215,X-343,MULTI,36,895,895,1595,BLOUSE
VDB12145,86B,GOLD,36,550,550,1450,BLOUSE
VDB12165,86B,SILVER,34,550,550,1450,BLOUSE
VDB32677,KP-79,RED,36,1950,1950,3450,BLOUSE
VDB21184,KP-87,RED,38,2450,2450,4450,BLOUSE
VDB38677,LEC-174,COPPER,34,1050,1050,1895,BLOUSE
VDB31021,X-124,SILVER,34,1050,1050,1950,BLOUSE
VDB11185,X-146,GOLD,34,1350,1350,2250,BLOUSE
VDB16339,X-193NS,GOLD,38,495,495,975,BLOUSE
VDB16264,X-193SL,GOLD,42,495,495,975,BLOUSE
VDB20207,X-193SL,CREAM,34,495,495,975,BLOUSE
VDB19763,X-203,ROYAL BLUE,34,495,495,975,BLOUSE
VDB19173,X-225,GOLD,34,1050,1050,1950,BLOUSE
VDB19175,X-225,GOLD,38,1050,1050,1950,BLOUSE
VDB19174,X-225,GOLD,36,1050,1050,1950,BLOUSE
VDB19168,X-225,BLACK,38,1050,1050,1950,BLOUSE
VDB20858,X-230,MULTI,42,850,850,1650,BLOUSE
VDB21387,X-234,BLACK,38,975,975,1750,BLOUSE
VDB21388,X-234,BLACK,36,975,975,1750,BLOUSE
VDB24974,X-256,BLACK,36,650,650,1250,BLOUSE
VDB26799,X-264SL,MAROON,36,1050,1050,1850,BLOUSE
VDB26278,X-265NS,GOLD,34,750,750,1350,BLOUSE
VDB28764,X-266,BLACK,34,1250,1250,2195,BLOUSE
VDB28758,X-266,GOLD,34,1250,1250,2195,BLOUSE
VDB26753,X-269NS,GOLD,40,975,975,1750,BLOUSE
VDB39157,X-274SL.EFO,GOLD,38,1150,1150,2395,BLOUSE
VDB33579,X-293,GOLD,38,995,995,1750,BLOUSE
VDB34340,X-311NS,GOLD,34,795,795,1395,BLOUSE
VDB34338,X-312NS,COPPER,38,795,795,1395,BLOUSE
VDB14222,X-40,GOLD,32,975,975,2250,BLOUSE
VDB10289,81SL,ROYAL BLUE,34,495,495,975,BLOUSE
VDB10274,81SL,GREEN,32,495,495,975,BLOUSE
VDB10288,81SL,ROYAL BLUE,32,495,495,975,BLOUSE
VDB10257,81SL,RED,40,495,495,975,BLOUSE
VDB31275,86B,BLACK,32,550,550,1250,BLOUSE
VDB31259,86B,GOLD,34,550,550,1250,BLOUSE
VDB31262,86B,GOLD,40,550,550,1250,BLOUSE
VDB12169,86B,SILVER,42,550,550,1450,BLOUSE
VDB12168,86B,SILVER,40,550,550,1450,BLOUSE
VDB12148,86B,GOLD,42,550,550,1450,BLOUSE
VDB12143,86B,GOLD,32,550,550,1450,BLOUSE
VDB18248,86BNS,GOLD,34,550,550,1075,BLOUSE
VDB32732,JK-11,BLACK,M,1450,1450,2550,BLOUSE
VDB25160,KP-108,GREEN,38,2450,2450,4950,BLOUSE
VDB35457,KP-114EFO,RED,36,2750,2750,4950,BLOUSE
VDB39721,KP-123SL EFO,GOLD,34,3195,3195,5950,BLOUSE
VDB13812,KP-60,RED,38,1950,1950,3950,BLOUSE
VDB20122,KP-79,BLACK,34,1950,1950,2850,BLOUSE
VDB32473,KP-79,PINK,36,1950,1950,3450,BLOUSE
VDB32676,KP-79,MAROON,34,1950,1950,3450,BLOUSE
VDB19907,KP-87,ROYAL BLUE,38,2450,2450,4450,BLOUSE
VDB20032,KP-87,PINK,38,2450,2450,4450,BLOUSE
VDB20637,KP-87,BLACK,38,2450,2450,4450,BLOUSE
VDB21674,KP-87,PINK,34,2450,2450,4450,BLOUSE
VDB21182,KP-87,RED,34,2450,2450,4450,BLOUSE
VDB35324,KP-93EFO,GOLD,38,2450,2450,3950,BLOUSE
VDB35327,KP-93EFO,BLACK,36,2450,2450,3950,BLOUSE
VDB23273,KP-95,MAROON,36,2950,2950,5950,BLOUSE
VDB23230,KP-95,PINK,34,2950,2950,5950,BLOUSE
VDB31975,KT-01-WP,ROYAL BLUE,34,450,450,795,BLOUSE
VDB32109,KT-01-WP,MAROON,34,450,450,795,BLOUSE
VDB32140,KT-01-WP,RED,40,450,450,795,BLOUSE
VDB32138,KT-01-WP,RED,36,450,450,795,BLOUSE
VDB31995,KT-01-WP,MAROON,38,450,450,795,BLOUSE
VDB31993,KT-01-WP,GOLD,40,450,450,795,BLOUSE
VDB34872,KT-02-WP,COPPER,36,450,450,795,BLOUSE
VDB38631,LEC-170,GOLD,38,1150,1150,2095,BLOUSE
VDB38630,LEC-170,GOLD,36,1150,1150,2095,BLOUSE
VDB38676,LEC-173NS,GOLD,34,1250,1250,2195,BLOUSE
VDB38947,LEC-174,BLACK,34,1050,1050,1895,BLOUSE
VDB38948,LEC-174,BLACK,36,1050,1050,1895,BLOUSE
VDB38949,LEC-174,BLACK,38,1050,1050,1895,BLOUSE
VDB16757,MIX-1,GREEN,38,500,500,795,BLOUSE
VDB16681,MIX-1,GOLD,40,500,500,795,BLOUSE
VDB34119,R-5,ONION PINK,36,1050,1050,1950,BLOUSE
VDB34120,R-5,ONION PINK,38,1050,1050,1950,BLOUSE
VDB34118,R-5,ONION PINK,34,1050,1050,1950,BLOUSE
VDB10122,R-5P,GOLD,36,1050,1050,1950,BLOUSE
VDB31624,X-124,GOLD,40,1050,1050,1950,BLOUSE
VDB14750,X-124,GOLD,38,1050,1050,2250,BLOUSE
VDB11186,X-146,GOLD,36,1350,1350,2250,BLOUSE
VDB22124,X-146,ROYAL BLUE,34,1350,1350,2250,BLOUSE
VDB11205,X-146,CREAM,32,1350,1350,2250,BLOUSE
VDB22125,X-146,ROYAL BLUE,36,1350,1350,2250,BLOUSE
VDB22123,X-146,ROYAL BLUE,32,1350,1350,2250,BLOUSE
VDB18957,X-146,RED,34,1350,1350,2250,BLOUSE
VDB15377,X-151,NEON MULTI,32,850,850,1650,BLOUSE
VDB17858,X-151NS,MULTI,34,750,750,1550,BLOUSE
VDB15538,X-162SL,SILVER,32,975,975,1650,BLOUSE
VDB11138,X-18,COPPER,38,975,975,1750,BLOUSE
VDB16338,X-193NS,GOLD,36,495,495,975,BLOUSE
VDB20830,X-193SL,PARROT GREEN,38,495,495,975,BLOUSE
VDB16317,X-193SL,BRINJAL,36,495,495,975,BLOUSE
VDB16263,X-193SL,GOLD,40,495,495,975,BLOUSE
